,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
2954,sector 28,house,independent,10.5,32407.0,3240.04,Plot area 360(301.01 sq.m.),5,6,3+,3.0,Na,New Property,,3240.0,,1,1,0,1,0,0,153
2973,sector 54,flat,dlf park place,4.85,30180.0,1607.0,Super Built up area 1983(184.23 sq.m.)Built Up area: 1785 sq.ft. (165.83 sq.m.)Carpet area: 1607 sq.ft. (149.3 sq.m.),3,4,3+,6.0,North,Moderately New Property,1983.0,1785.0,1607.0,1,0,0,0,0,2,158
2984,sector 57,house,independent,6.95,38611.0,1800.01,Plot area 192(160.54 sq.m.),12,12,3+,4.0,East,New Property,,1728.0,,1,0,0,0,1,0,73
2995,sector 24,house,dlf city plots phase 3,1.44,26667.0,539.99,Plot area 60(50.17 sq.m.),4,2,2,1.0,Na,Old Property,,540.0,,0,0,0,0,0,1,8
3003,sector 67,house,ansal api esencia,1.85,74000.0,250.0,Carpet area: 250 (23.23 sq.m.),3,3,3,1.0,Na,Undefined,,,250.0,0,0,0,0,0,1,49
3015,sector 33,house,unitech uniworld resorts,10.0,181818.0,550.0,Plot area 550(51.1 sq.m.),5,6,3,4.0,North-East,New Property,,550.0,,1,1,0,0,0,1,26
3020,sector 26,house,independent,15.0,33200.0,4518.07,Plot area 502(419.74 sq.m.),5,6,3+,3.0,North,Moderately New Property,,4518.0,,1,1,0,1,1,0,78
3032,sector 50,house,unitech espace,9.8,30247.0,3239.99,Plot area 360(301.01 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 280 sq.yards (234.12 sq.m.),4,4,3,2.0,North-West,Moderately New Property,,300.0,280.0,1,0,0,0,0,1,22
3043,sector 40,house,independent,12.0,38986.0,3078.03,Plot area 342(285.96 sq.m.),16,16,3+,4.0,Na,New Property,,3078.0,,1,1,0,1,1,0,0
3068,sector 50,house,unitech nirvana birch court,11.95,36883.0,3239.98,Plot area 360(301.01 sq.m.),3,3,2,1.0,West,Moderately New Property,,3240.0,,1,1,0,0,0,1,101
3080,sector 26,house,independent,7.0,39265.0,1782.76,Plot area 1782.72(165.62 sq.m.),5,5,2,3.0,North-East,Relatively new property,,1782.72,,1,0,0,0,0,1,9
3122,sector 26,house,dlf city plots,16.0,37778.0,4235.27,Plot area 500(418.06 sq.m.),4,4,3,1.0,Na,Relatively new property,,500.0,,0,1,0,1,1,1,7
3127,sector 24,house,dlf city plots phase 3,5.0,34083.0,1467.01,Plot area 163(136.29 sq.m.),13,13,3+,4.0,North,New Property,,1467.0,,0,0,0,1,0,2,91
3128,sector 49,house,uppal southend,6.75,31915.0,2114.99,Plot area 235(196.49 sq.m.),12,12,3+,3.0,West,Moderately New Property,,2115.0,,0,0,1,0,0,1,49
3182,sector 25,house,independent,6.6,36667.0,1799.98,Plot area 200(167.23 sq.m.),6,7,3+,2.0,East,Moderately New Property,,1800.0,,1,1,0,0,0,0,119
3198,sector 50,house,independent,10.56,32593.0,3239.96,Plot area 360(301.01 sq.m.),5,5,3,3.0,Na,Moderately New Property,,3240.0,,1,0,0,0,0,1,20
3216,sector 26,house,independent,5.8,32222.0,1800.01,Plot area 200(167.23 sq.m.),5,5,3+,2.0,North,Old Property,,1800.0,,1,1,0,1,1,1,53
3220,sector 43,house,independent,5.25,27132.0,1934.98,Plot area 215(179.77 sq.m.),4,4,2,2.0,Na,Old Property,,1935.0,,1,1,0,0,0,0,80
3222,sector 47,house,independent,4.3,29311.0,1467.03,Plot area 163(136.29 sq.m.),6,4,2,2.0,Na,Moderately New Property,,1467.0,,0,0,1,0,0,1,0
3228,sector 50,house,unitech espace,10.3,31790.0,3240.01,Plot area 360(301.01 sq.m.),5,6,3+,3.0,East,Moderately New Property,,3240.0,,1,1,0,1,1,0,160
3238,sector 25,house,independent,11.0,35530.0,3095.98,Plot area 344(287.63 sq.m.),5,5,3+,2.0,Na,Relatively new property,,3096.0,,1,1,0,1,1,1,29
3239,sector 66,house,emaar mgf marbella,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3+,3.0,East,Relatively new property,,3240.0,,1,1,0,1,1,0,160
3252,sector 46,house,independent,2.25,24510.0,917.99,Plot area 102(85.28 sq.m.)Built Up area: 90 sq.yards (75.25 sq.m.)Carpet area: 85 sq.yards (71.07 sq.m.),4,3,3,3.0,North-East,Relatively new property,,90.0,85.0,0,1,0,0,0,0,35
3255,sector 25,house,dlf city plots phase 2,10.0,400000.0,250.0,Plot area 250(23.23 sq.m.),12,12,3+,4.0,North,Relatively new property,,250.0,,1,1,0,0,0,0,114
3258,sector 38,house,sector 38 rwa,4.3,28782.0,1493.99,Plot area 166(138.8 sq.m.)Built Up area: 165 sq.yards (137.96 sq.m.)Carpet area: 164 sq.yards (137.12 sq.m.),9,9,3+,3.0,East,Relatively new property,,165.0,164.0,0,0,1,1,0,0,41
3291,sector 49,house,eros rosewood villas,2.75,178571.0,154.0,Plot area 154(14.31 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,1,2.0,North-West,Old Property,,,1650.0,0,0,1,0,0,0,80
3311,sector 54,house,independent,5.5,38194.0,1440.02,Plot area 160(133.78 sq.m.),18,18,3+,4.0,South-West,Relatively new property,,1440.0,,1,0,0,0,0,2,70
3316,sector 26,house,independent,8.9,32963.0,2700.0,Plot area 300(250.84 sq.m.),4,4,3+,2.0,South-East,Old Property,,2700.0,,1,1,0,1,1,1,82
3319,sector 47,house,malibu towne,8.5,53125.0,1600.0,Built Up area: 1600 (148.64 sq.m.),12,12,3+,4.0,North,New Property,,1600.0,,0,0,0,0,0,0,99
3341,sector 24,house,independent,3.5,32407.0,1080.01,Plot area 120(100.34 sq.m.),5,4,3,3.0,North-West,Old Property,,1080.0,,0,0,0,0,0,1,15
3346,sector 66,house,emaar mgf marbella,19.0,31666.0,6000.13,Plot area 9000(836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5,6,3+,3.0,North-East,Relatively new property,,,6000.0,1,0,0,1,1,0,110
3349,sector 50,house,unitech nirvana birch court,6.8,31481.0,2160.03,Plot area 240(200.67 sq.m.),4,4,3+,2.0,South-East,Old Property,,2160.0,,1,1,0,1,0,1,105
3353,sector 28,house,independent,11.75,41315.0,2844.0,Plot area 316(264.22 sq.m.),4,5,3+,4.0,East,Relatively new property,,2844.0,,1,1,0,0,1,0,54
3380,sector 13,house,independent,0.5,90909.0,55.0,Plot area 55(5.11 sq.m.),12,4,3,4.0,Na,Old Property,,55.0,,0,0,0,0,0,1,15
3390,sector 25,house,nul,6.25,34722.0,1800.01,Plot area 200(167.23 sq.m.),5,5,3,2.0,East,Moderately New Property,,1800.0,,1,0,0,1,0,0,112
3398,sector 48,house,vipul tatvam villa,7.25,27971.0,2591.97,Plot area 288(240.8 sq.m.),3,4,2,2.0,South,Moderately New Property,,2592.0,,1,1,0,1,1,0,115
3400,sector 25,house,independent,10.5,29022.0,3617.95,Plot area 402(336.12 sq.m.),5,5,3,3.0,East,Moderately New Property,,3618.0,,1,1,0,1,0,1,42
3401,sector 25,house,independent,4.45,32963.0,1350.0,Plot area 150(125.42 sq.m.),4,3,3+,2.0,West,Moderately New Property,,1350.0,,0,0,0,0,1,1,79
3409,sector 41,house,independent,7.0,28283.0,2474.98,Plot area 275(229.94 sq.m.),7,7,3+,3.0,South-West,Moderately New Property,,2475.0,,1,1,0,1,1,2,151
3410,sector 61,flat,puri the aravallis,3.9,33209.0,1174.0,Carpet area: 1249.65 (116.1 sq.m.),3,4,3+,33.0,South,Under Construction,,,1249.68879,1,0,0,0,0,1,158
3416,sector 43,house,independent,5.5,28424.0,1934.98,Plot area 215(179.77 sq.m.),1,1,0,1.0,South-West,Old Property,,1935.0,,0,0,1,0,0,1,12
3422,sector 41,house,independent,7.25,29293.0,2474.99,Plot area 275(229.94 sq.m.),9,8,3,4.0,South-West,Old Property,,2475.0,,1,0,0,0,0,0,94
3424,sector 26,house,independent,5.8,32222.0,1800.01,Plot area 200(167.23 sq.m.),4,3,2,2.0,East,Relatively new property,,1800.0,,0,0,0,0,1,1,21
3435,sector 46,house,independent,2.4,26667.0,899.99,Plot area 100(83.61 sq.m.),4,4,3,3.0,East,Moderately New Property,,900.0,,0,0,0,0,1,0,44
3440,sector 26,house,independent,18.9,41833.0,4517.96,Plot area 502(419.74 sq.m.),6,8,2,3.0,North-East,Relatively new property,,4518.0,,1,1,0,1,1,0,120
3446,sector 43,house,independent,2.1,38251.0,549.01,Plot area 61(51 sq.m.),10,10,3+,5.0,West,New Property,,549.0,,1,0,0,0,0,1,20
3449,sector 56,house,huda sector-56 gurgaon,3.6,24845.0,1448.98,Plot area 161(134.62 sq.m.),5,5,3+,3.0,North-East,Moderately New Property,,1449.0,,0,0,1,0,0,1,47
3450,sector 55,house,independent,5.0,44444.0,1125.01,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),9,9,3+,5.0,East,New Property,,115.0,100.0,0,0,1,0,0,0,44
3480,sector 49,house,uppal southend,3.75,25562.0,1467.02,Built Up area: 163 (136.29 sq.m.),6,6,3+,3.0,East,Moderately New Property,,163.0,,0,1,0,0,0,0,26
3497,sector 48,house,vipul tatvam villa,8.5,26235.0,3239.95,Plot area 360(301.01 sq.m.),4,4,1,,Na,Relatively new property,,3240.0,,0,0,0,0,0,1,21
3499,sector 43,house,ansal sushant lok,10.5,27911.0,3761.96,Plot area 418(349.5 sq.m.),4,4,2,,North-East,Old Property,,3762.0,,1,0,0,0,0,1,59
3514,sohna road road,house,cloudnine cottages,5.5,55000.0,1000.0,Plot area 1000(92.9 sq.m.),3,3,0,1.0,Na,Moderately New Property,,1000.0,,0,0,0,0,0,1,0
3515,sector 26,house,independent,8.1,35294.0,2295.01,Plot area 255(213.21 sq.m.),5,5,2,4.0,East,Old Property,,2295.0,,0,0,0,0,0,1,42
3518,sector 43,house,sushant lok 1 builder floors,1.65,30556.0,539.99,Plot area 60(50.17 sq.m.)Built Up area: 540 sq.yards (451.51 sq.m.)Carpet area: 500 sq.yards (418.06 sq.m.),4,4,3+,4.0,West,Moderately New Property,,540.0,500.0,0,0,1,0,0,2,49
3548,sector 25,house,dlf city plots phase 2,4.25,31481.0,1350.02,Plot area 150(125.42 sq.m.),3,2,3,2.0,North,Old Property,,1350.0,,0,1,0,0,0,1,35
3558,sector 26,house,independent,6.0,33333.0,1800.02,Plot area 200(167.23 sq.m.),8,5,3+,3.0,Na,Old Property,,1800.0,,0,0,0,0,0,0,9
3559,sector 43,house,landmark house,2.75,25463.0,1080.0,Plot area 120(100.34 sq.m.),3,3,1,2.0,South-East,Moderately New Property,,1080.0,,0,0,0,1,0,1,21
3565,sector 25,house,independent,6.5,36111.0,1800.01,Plot area 200(167.23 sq.m.),4,3,3,3.0,Na,Moderately New Property,,1800.0,,0,1,0,1,0,1,19
3572,sector 4,house,independent,0.65,92857.0,70.0,Plot area 70(6.5 sq.m.),1,1,1,1.0,South-East,Moderately New Property,,70.0,,0,0,1,0,0,1,21
3580,sector 50,house,independent,12.5,40611.0,3077.98,Plot area 342(285.96 sq.m.),6,5,3,4.0,East,Moderately New Property,,3078.0,,1,1,0,1,0,0,23
3591,sector 43,flat,dlf the icon,6.0,26086.0,2300.0,Carpet area: 2300 (213.68 sq.m.),4,4,3+,18.0,North-East,Old Property,,,2300.0,1,0,0,0,0,0,150
3592,sector 8,house,independent,1.6,28674.0,558.0,Plot area 62(51.84 sq.m.),4,6,1,3.0,Na,Relatively new property,,558.0,,0,0,0,0,0,1,0
3593,sector 109,house,international city by sobha phase 2,6.2,25514.0,2430.04,Plot area 270(225.75 sq.m.),5,5,2,2.0,South-West,Relatively new property,,2430.0,,1,0,0,0,0,1,135
3598,sector 50,house,independent,13.2,27155.0,4860.98,Built Up area: 4861 (451.6 sq.m.),6,6,0,2.0,Na,Undefined,,4861.0,,0,0,0,0,0,1,0
3617,sector 31,house,independent,4.25,26235.0,1619.97,Plot area 204(170.57 sq.m.)Built Up area: 200 sq.yards (167.23 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),5,5,3+,3.0,North-East,Moderately New Property,,200.0,180.0,0,0,0,1,1,0,56
3631,sector 40,flat,lig flat,1.5,50000.0,300.0,Built Up area: 300 (27.87 sq.m.),1,1,0,0.0,Na,Undefined,,300.0,,0,0,0,0,0,1,0
3639,sector 50,house,unitech espace,11.0,40741.0,2699.98,Plot area 360(301.01 sq.m.)Built Up area: 361 sq.yards (301.84 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),4,4,3+,2.0,North,Moderately New Property,,361.0,300.0,1,0,0,0,0,0,88
3645,sector 66,house,emaar mgf marbella,11.0,33951.0,3239.96,Plot area 360(301.01 sq.m.),5,6,3+,2.0,North-East,New Property,,3240.0,,1,1,0,1,1,0,153
3658,sector 24,house,independent,3.2,59259.0,540.0,Plot area 60(50.17 sq.m.),14,14,3+,6.0,West,Relatively new property,,540.0,,0,0,0,0,0,2,15
3661,sector 26,house,luxury dlf city floors,20.0,48889.0,4090.9,Plot area 500(418.06 sq.m.),16,16,3+,4.0,Na,New Property,,500.0,,1,0,0,0,0,0,31
3664,sector 70,flat,unitech vistas,9.0,57507.0,1565.0,Built Up area: 1565 (145.39 sq.m.),3,3,0,7.0,Na,Undefined,,1565.0,,0,0,0,0,0,1,0
3666,sector 26,house,independent,16.0,35556.0,4499.94,Plot area 500(418.06 sq.m.),5,6,3,2.0,North-East,Old Property,,4500.0,,0,0,0,0,0,1,0
3692,sector 109,house,international city by sobha phase 2,9.5,26389.0,3599.98,Plot area 400(334.45 sq.m.),7,6,3,3.0,West,Relatively new property,,3600.0,,1,1,0,1,0,1,138
3701,sector 26,house,dlf city phase 1,4.5,33333.0,1350.01,Plot area 150(125.42 sq.m.),3,3,2,2.0,East,Moderately New Property,,1350.0,,1,1,0,0,0,1,70
3704,sector 33,house,unitech uniworld resorts,9.5,173992.0,546.0,Plot area 546(50.73 sq.m.),6,6,3+,3.0,North-East,Moderately New Property,,546.0,,0,0,0,0,0,0,40
3718,sector 109,house,international city by sobha phase 1,6.0,24691.0,2430.04,Plot area 270(225.75 sq.m.),4,5,3+,2.0,North,Relatively new property,,2430.0,,1,0,0,0,0,0,96
3720,sector 53,flat,vipul belmonte,6.0,24489.0,2450.0,Super Built up area 2450(227.61 sq.m.),3,4,3+,6.0,North-West,Moderately New Property,2450.0,,,1,0,1,0,0,0,26
3728,sector 26,house,independent,9.0,33333.0,2700.03,Plot area 300(250.84 sq.m.),5,5,2,3.0,South-West,Old Property,,2700.0,,1,1,0,1,1,2,110
3729,sector 50,house,unitech deerwood chase,8.45,235376.0,359.0,Plot area 359(33.35 sq.m.),3,3,2,2.0,North-East,Old Property,,359.0,,1,1,0,0,0,0,102
3730,sector 13,house,independent,0.62,32291.0,192.0,Built Up area: 192 (17.84 sq.m.),6,6,0,3.0,Na,Undefined,,192.0,,0,0,0,0,0,1,0
3770,sector 43,house,sushant lok 1 builder floors,6.25,30728.0,2033.98,Plot area 226(188.96 sq.m.),7,7,3+,3.0,North,Moderately New Property,,2034.0,,1,1,0,0,1,1,46
