sector,property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
sector 102,flat,shapoorji pallonji joyville gurugram,2.04,14069.0,3,3,3+,1.0,Relatively new property,1644.0,0,0,0,0,0,1,72
sohna road,flat,eldeco accolade,0.78,5420.0,2,2,2,7.0,Relatively new property,1319.0,0,1,0,0,0,0,137
sector 79,flat,bestech altura,2.55,9533.0,4,5,2,4.0,New Property,2675.0,1,0,0,0,0,1,44
sector 43,house,independent,14.0,39886.0,9,9,3+,4.0,Moderately New Property,3510.0,1,0,0,0,0,1,7
sector 55,house,independent,3.55,24500.0,4,4,3+,2.0,Old Property,1448.98,0,0,0,0,0,0,27
sector 84,flat,pivotal devaan,0.3,6667.0,1,1,1,14.0,New Property,500.0,0,0,0,0,0,0,22
sector 48,house,vipul tatvam villa,8.2,25309.0,3,3,2,2.0,Moderately New Property,3240.0,1,1,0,1,0,2,160
sector 105,house,independent,0.7,5833.0,3,2,2,1.0,Moderately New Property,1200.0,0,0,0,0,0,1,0
sector 109,flat,ats tourmaline,1.75,8140.0,3,4,3+,9.0,Relatively new property,1946.0,1,0,0,0,0,1,94
sector 83,flat,vatika gurgaon,0.83,6667.0,2,2,2,12.0,Relatively new property,1154.0,0,0,0,1,0,1,165
sector 4,house,not applicable,0.8,6088.0,5,4,3,3.0,Under Construction,146.0,0,0,0,0,0,1,0
sector 55,house,independent,1.45,26852.0,1,4,3+,4.0,Relatively new property,60.0,0,0,0,0,1,1,70
sector 50,house,unitech nirvana birch court,7.1,31481.0,3,3,3,1.0,Moderately New Property,2255.31,1,0,0,0,0,1,49
sector 62,flat,emaar digihomes,2.45,16003.0,2,2,2,7.0,New Property,1200.0,0,1,0,0,0,2,174
sector 2,flat,rk tower,0.95,9596.0,2,2,1,1.0,Relatively new property,1100.0,0,0,0,0,0,1,99
sector 72,flat,tata primanti,3.85,13253.0,4,5,3+,13.0,Relatively new property,2629.0,1,0,0,0,0,0,174
sector 66,house,emaar mgf marbella,12.0,38095.0,5,6,3+,3.0,Relatively new property,3150.0,1,0,0,0,1,0,153
sector 50,house,unitech escape,12.0,37037.0,5,6,3+,3.0,Moderately New Property,3240.0,0,0,0,0,0,1,66
sector 37d,flat,bptp terra,1.78,8124.0,4,3,3,10.0,Relatively new property,1983.0,1,0,0,0,0,1,127
sector 39,flat,kw royal court,2.0,6250.0,5,4,3,9.0,Old Property,3556.0,1,0,0,0,0,2,49
sector 4,house,independent,0.5,9259.0,2,3,2,3.0,Old Property,540.0,0,0,0,0,0,1,0
sector 104,flat,puri emerald bay,2.25,10465.0,3,4,3+,4.0,Relatively new property,2303.0,1,0,0,0,0,0,159
sector 69,flat,tulip violet,1.72,8731.0,4,4,1,12.0,Relatively new property,1783.0,0,0,0,0,0,1,86
sector 107,flat,signature global solera,0.38,6333.0,2,2,2,3.0,Relatively new property,627.0,0,0,0,0,0,2,23
sector 65,flat,m3m golfestate,13.2,12000.0,4,4,3,13.0,Moderately New Property,12222.0,1,0,0,0,0,1,60
sector 37d,flat,signature global city 37d ph 2,1.36,8848.0,3,3,3,1.0,Under Construction,1535.0,0,0,1,1,0,1,37
sector 48,flat,parsvnath green ville,1.6,8377.0,3,3,3+,8.0,Old Property,1895.0,0,0,1,0,0,0,49
sector 108,flat,sobha city,2.5,14611.0,3,3,2,19.0,New Property,1480.0,0,0,0,0,0,1,166
sector 70,flat,shree vardhman victoria,1.5,7692.0,3,5,3,7.0,Relatively new property,1527.0,1,0,0,0,0,0,174
sector 106,flat,paras dews,1.1,9735.0,3,4,3+,8.0,Relatively new property,1186.0,1,0,0,0,0,0,174
sector 12,house,mian wali,1.7,9444.0,1,1,1,1.0,Old Property,1800.0,1,0,0,0,0,1,7
sector 69,flat,tulip violet,1.43,8888.0,3,3,2,1.0,Relatively new property,1455.0,0,0,0,1,0,1,86
sector 81,flat,dlf the ultima,2.26,10762.0,3,4,3+,17.0,New Property,1900.0,1,0,0,0,0,2,174
sector 83,flat,mapsko paradise,0.95,6300.0,3,3,3,1.0,Moderately New Property,1489.0,0,0,0,0,0,1,0
sector 56,house,independent,4.0,26613.0,4,4,3+,2.0,Relatively new property,1503.02,0,0,0,0,0,0,24
sector 67,flat,bestech park view spa next,2.35,12145.0,3,4,3+,14.0,Moderately New Property,1751.0,1,0,0,0,0,0,156
sector 63,flat,dhoot time residency,3.0,18270.0,3,3,3+,14.0,Relatively new property,1642.0,1,0,0,0,0,0,0
sector 2,flat,bestech park view residency,0.56,8629.0,1,1,2,6.0,Moderately New Property,723.0,0,0,0,0,0,1,77
sector 68,flat,m3m the marina,1.45,9615.0,3,2,3+,9.0,New Property,1365.0,0,0,0,0,0,1,0
sector 46,house,independent,5.5,23061.0,8,8,3+,3.0,Moderately New Property,2385.0,0,1,1,0,0,0,32
sector 103,flat,indiabulls centrum park,2.14,7443.0,4,6,3+,7.0,Relatively new property,2718.0,1,0,0,0,0,1,142
sector 109,flat,ats tourmaline,1.45,6744.0,3,4,3+,4.0,Relatively new property,1797.0,1,0,0,0,0,1,71
sector 61,flat,smart world orchard,2.57,15767.0,3,3,2,3.0,Under Construction,1630.0,0,1,0,0,0,1,0
sector 102,flat,emaar imperial gardens,1.85,9136.0,3,3,3+,0.0,Relatively new property,2250.0,1,0,0,0,0,0,95
sector 104,flat,ats triumph,1.8,7860.0,3,4,3,14.0,New Property,2544.0,0,0,0,0,0,1,60
sector 99a,flat,pareena coban residences,1.45,7261.0,3,5,3,11.0,Relatively new property,1807.0,1,0,1,0,0,0,49
sector 37d,flat,bptp terra,1.55,8559.0,3,3,3+,11.0,Relatively new property,1639.0,0,0,0,0,0,1,79
sector 85,flat,ss the leaf,2.1,8721.0,3,4,3+,6.0,Relatively new property,2026.0,1,0,0,0,0,1,156
sector 57,house,independent,8.31,24171.0,5,6,3+,4.0,Old Property,3438.0,1,1,0,1,1,1,34
sector 102,flat,shapoorji pallonji joyville gurugram,1.75,9449.0,3,3,3,10.0,Relatively new property,1465.0,1,1,1,1,0,1,49
sector 92,flat,sare petioles,1.3,6373.0,4,4,0,7.0,Relatively new property,2040.0,0,0,0,0,0,1,0
sector 83,flat,mapsko paradise,0.75,5597.0,3,3,3,10.0,New Property,1162.0,0,0,1,0,0,0,49
sector 92,flat,sare crescent parc,0.9,4259.0,4,5,3+,3.0,Relatively new property,1805.0,1,0,0,0,0,1,0
sector 22,flat,ambience creacions,2.55,13710.0,3,3,3,5.0,Relatively new property,1860.0,0,0,0,0,0,2,49
sector 57,house,independent,3.49,20197.0,4,4,2,3.0,Moderately New Property,1727.98,1,1,0,1,0,0,49
sector 49,house,eros rosewood city,4.05,20769.0,3,3,3,2.0,Moderately New Property,2000.0,1,0,0,0,1,1,46
sector 68,flat,supertech hues,0.9,7627.0,2,2,2,1.0,New Property,1311.0,0,0,0,0,0,1,44
sector 67,flat,ireo victory valley,4.55,14537.0,4,4,3+,19.0,Relatively new property,2833.0,1,0,0,0,0,0,156
sector 52,house,ardee city,2.25,16071.0,3,3,3,4.0,New Property,1800.0,1,0,0,0,0,0,22
sector 103,flat,indiabulls centrum park,1.32,7788.0,3,3,3+,6.0,Relatively new property,1300.0,0,1,0,0,0,1,49
sector 68,flat,supertech new soft launch,0.84,7119.0,2,2,2,7.0,New Property,1180.0,0,0,0,0,0,1,0
sector 55,flat,siddhi vinayak apartments,1.44,9600.0,3,3,2,6.0,Moderately New Property,1700.0,0,0,1,0,0,0,47
sector 33,flat,unitech the residences,1.35,8738.0,3,4,2,8.0,Moderately New Property,1398.0,1,0,0,0,0,1,49
sector 26,house,independent,20.0,44444.0,5,7,3+,3.0,Relatively new property,4500.0,1,0,0,1,0,2,97
sector 65,flat,emaar mgf emerald floors premier,2.9,14684.0,4,4,3+,4.0,Relatively new property,1975.0,1,1,0,0,0,0,152
sector 53,flat,parsvnath exotica,4.8,14679.0,3,4,3+,12.0,New Property,2895.0,0,0,0,0,0,1,69
sector 48,flat,central park 2 bellevue,2.75,10755.0,3,4,3+,3.0,Moderately New Property,2574.0,0,0,0,0,0,1,32
sector 102,flat,shapoorji pallonji joyville gurugram,1.4,10378.0,2,2,2,11.0,New Property,1166.0,0,0,0,0,0,0,49
sector 81,flat,signature global synera,0.39,6500.0,2,2,2,6.0,Relatively new property,667.0,0,0,0,0,0,1,37
sector 43,flat,dlf the grove,6.0,25000.0,4,4,2,1.0,Under Construction,2667.0,1,0,0,0,0,0,49
sohna road,flat,signature global park,0.67,5537.0,2,2,3,4.0,Relatively new property,1095.0,0,0,0,1,0,1,127
sector 4,house,independent,0.67,9795.0,3,3,2,2.0,Relatively new property,76.0,0,0,1,0,0,1,7
sector 68,flat,pareena mi casa,1.15,9237.0,2,2,3,8.0,New Property,1127.0,0,0,0,0,0,1,49
sohna road,flat,eldeco accolade,0.71,5608.0,2,2,3,10.0,Relatively new property,1154.0,0,0,0,0,0,1,159
sector 89,flat,smart world gems,0.95,8903.0,2,2,2,1.0,Under Construction,804.0,0,1,0,0,0,1,122
sector 76,flat,godrej icon,1.75,14894.0,3,3,3+,6.0,New Property,1306.0,0,0,0,0,0,1,55
sector 92,flat,sare homes,1.19,5219.0,4,3,3,14.0,Relatively new property,2533.0,1,0,0,0,0,1,100
sector 90,flat,dlf new town heights,1.42,4865.0,4,4,3+,8.0,Moderately New Property,2139.0,1,0,0,0,1,1,31
sector 26,house,independent,4.5,33333.0,5,5,3+,2.0,Old Property,1350.01,0,0,0,0,0,1,7
sector 50,house,unitech aspen greens,12.0,37037.0,3,4,2,1.0,Moderately New Property,3240.0,1,1,0,0,0,0,101
sector 92,house,ansal heights,2.75,9793.0,4,4,3+,3.0,Relatively new property,5000.0,0,1,0,1,0,1,0
sohna road,flat,eldeco accolade,0.95,6177.0,2,2,3+,8.0,Under Construction,1050.0,0,1,1,0,0,1,72
sector 2,flat,ansal plaza,1.0,10000.0,2,3,0,1.0,Moderately New Property,1000.0,0,0,0,0,0,1,0
sector 33,flat,central park flower valley aqua front towers,1.7,9450.0,3,3,3+,5.0,New Property,1697.0,0,0,0,0,0,0,44
sector 2,flat,bestech park view residency,1.55,8073.0,3,4,3+,10.0,Moderately New Property,1738.0,1,0,0,0,0,1,100
sector 12,house,independent,0.9,13333.0,2,4,0,2.0,Old Property,675.0,0,0,0,0,0,1,0
sector 111,flat,puri diplomatic greens,2.65,13590.0,3,4,2,7.0,Relatively new property,2086.0,1,0,0,0,0,0,159
sector 37c,flat,corona optus,1.26,7250.0,3,3,3,4.0,New Property,1400.0,0,0,0,0,0,1,28
sector 61,flat,smart world orchard,1.41,12250.0,2,2,2,2.0,Under Construction,1150.0,0,1,0,0,0,1,76
sector 92,flat,dlf new town heights,1.25,8639.0,3,4,3+,0.0,Old Property,1608.0,1,0,0,0,0,2,31
sohna road,flat,ashiana mulberry,1.05,5412.0,2,2,3,1.0,New Property,1175.97,0,1,0,0,0,1,49
sector 82,house,vatika the seven lamps,1.6,6597.0,4,4,3+,16.0,Moderately New Property,2425.0,1,0,0,0,0,1,94
sector 109,flat,ats tourmaline,1.4,8000.0,3,3,3+,9.0,Relatively new property,1584.0,0,0,0,0,0,1,95
sector 82,house,vatika signature villas,4.7,21759.0,3,3,3+,3.0,New Property,2160.0,1,0,0,0,0,1,33
sector 85,flat,ss the leaf,1.12,6452.0,2,2,3,10.0,Relatively new property,1485.0,0,0,1,0,0,1,49
sohna road,flat,gls arawali homes,0.28,4308.0,2,2,2,12.0,New Property,588.0,0,0,0,0,0,1,0
sector 89,flat,greenopolis,0.65,5196.0,2,2,2,15.0,Under Construction,1390.0,0,0,0,0,0,1,37
sector 3 phase 3 extension,house,independent,0.85,8500.0,1,1,0,1.0,Moderately New Property,1000.0,0,0,0,0,0,1,0
sector 66,house,emaar mgf marbella,8.7,38667.0,4,5,2,3.0,New Property,2249.98,1,1,0,0,0,1,144
sector 102,flat,emaar gurgaon greens,1.52,9212.0,3,3,3,7.0,Relatively new property,1315.0,1,0,0,0,0,0,137
sector 37d,flat,bptp terra,1.45,8007.0,3,3,3,8.0,Relatively new property,1711.0,0,0,0,0,0,1,149
sector 104,flat,puri emerald bay,1.32,8516.0,2,2,2,10.0,Relatively new property,1403.0,0,0,0,0,0,1,128
sector 60,flat,ireo skyon,2.82,12818.0,3,3,3,2.0,Relatively new property,2400.0,1,0,0,0,0,0,174
sector 102,flat,shapoorji pallonji joyville gurugram,1.26,10040.0,2,2,2,10.0,Relatively new property,1100.0,0,0,0,0,0,1,108
sohna road,flat,gls arawali homes,0.27,4600.0,2,2,2,5.0,New Property,521.0,0,0,0,0,0,1,42
sector 102,flat,bptp amstoria,1.9,8444.0,3,3,3+,1.0,Relatively new property,2500.0,1,0,0,0,0,1,174
sector 86,flat,pyramid urban homes 2,0.5,9690.0,2,2,2,6.0,Old Property,573.0,0,0,0,0,0,1,15
sohna road,flat,hcbs sports ville,0.29,5588.0,2,2,1,4.0,Relatively new property,577.0,0,0,0,0,0,1,44
sector 43,house,independent,15.5,28233.0,5,6,3,3.0,Moderately New Property,5490.0,1,1,0,1,1,1,76
sector 26,house,dlf city plots,18.0,39841.0,6,6,2,3.0,Old Property,4518.0,1,0,1,1,0,0,49
sector 49,flat,vatika city,1.85,10577.0,3,3,1,7.0,Moderately New Property,1471.12,0,0,0,1,1,1,158
sector 81,flat,dlf the ultima,3.25,11805.0,4,4,3+,11.0,Moderately New Property,2491.0,1,0,0,0,0,1,28
sector 88a,flat,godrej oasis,1.5,8108.0,3,3,2,3.0,Relatively new property,2056.0,0,0,0,0,0,1,47
sector 84,flat,antriksh heights,0.85,5556.0,2,2,3,10.0,New Property,1222.0,0,1,1,0,0,1,24
sector 82a,flat,dlf the primus,1.85,10283.0,3,3,3+,2.0,Relatively new property,1668.0,0,0,0,0,0,0,44
sector 6,house,independent,0.66,10784.0,3,2,1,2.0,Old Property,612.0,0,0,0,0,0,1,36
sector 37c,flat,ild grand,0.66,5038.0,2,2,3+,14.0,Relatively new property,1310.0,0,0,0,0,0,1,60
sector 111,flat,kashish manor one,1.65,7097.0,3,4,3+,14.0,Under Construction,2104.0,1,0,1,0,0,1,8
sector 77,flat,umang winter hills,0.71,5306.0,2,2,2,6.0,Relatively new property,1057.0,0,1,0,0,0,1,108
sector 85,flat,ss the leaf,2.0,11869.0,3,4,3,5.0,Relatively new property,2026.0,1,0,0,0,0,1,156
sector 25,house,dlf city plots phase 2,7.5,31686.0,9,9,3+,4.0,Relatively new property,2300.5,1,1,0,1,0,0,160
sector 2,flat,bestech park view residency,0.95,6709.0,2,2,3,10.0,Old Property,1573.0,0,0,0,0,0,0,88
sector 90,flat,dlf regal gardens,1.25,7340.0,3,3,3,28.0,Moderately New Property,1541.0,1,0,0,0,0,1,38
sector 84,flat,pivotal devaan apartments,0.39,6500.0,2,2,0,5.0,Relatively new property,549.0,0,0,0,0,0,1,0
sector 92,flat,sare green parc phase 3,0.79,6086.0,3,2,2,15.0,New Property,1175.0,0,0,0,0,0,1,29
sector 83,flat,vatika gurgaon,1.33,5565.0,4,4,3,3.0,Relatively new property,2193.0,1,0,0,0,0,1,26
sector 84,flat,alpha corp gurgaonone,2.28,8769.0,4,4,3+,8.0,Relatively new property,2998.0,1,0,0,0,0,1,61
sector 49,flat,orchid petals,2.45,11887.0,3,3,3,0.0,Relatively new property,1865.0,0,1,0,0,0,1,49
sector 4,house,independent,1.1,6111.0,4,4,3+,2.0,Old Property,1800.0,0,0,0,0,0,1,7
sector 79,flat,mapsko mount ville,1.2,8054.0,3,3,3,9.0,Relatively new property,1321.0,0,1,0,0,0,0,104
sector 70a,house,independent,2.1,3889.0,3,2,1,3.0,New Property,667.0,0,0,0,0,0,1,0
sector 69,flat,tulip violet,1.2,10909.0,2,3,0,0.0,Relatively new property,1100.0,0,0,0,0,0,1,54
sector 28,flat,dlf regency park,2.35,13225.0,3,3,2,18.0,Old Property,1608.0,1,0,0,0,0,1,120
sector 69,flat,tulip violet,1.9,9453.0,4,4,2,6.0,Relatively new property,1743.0,0,0,0,0,1,1,174
sector 49,house,uppal southend,4.4,15278.0,6,6,3,3.0,Moderately New Property,2880.0,1,1,0,1,1,2,110
sohna road,flat,signature global park,0.68,8252.0,2,2,2,3.0,New Property,916.0,0,0,0,0,0,1,113
sector 109,flat,sbtl caladium,1.7,6680.0,3,3,3+,9.0,Relatively new property,2303.0,1,0,0,0,0,1,159
sector 63,flat,dlf the arbour,7.8,19747.0,4,4,0,6.0,New Property,3950.0,0,0,0,0,0,1,61
sector 106,flat,paras dews,1.5,6369.0,4,6,3+,11.0,Relatively new property,1535.0,1,0,0,0,0,1,174
sector 83,flat,emaar palm gardens,1.76,9263.0,3,3,3,5.0,Relatively new property,1600.0,1,0,0,0,0,0,174
sector 93,flat,signature global orchard avenue,0.4,7353.0,2,2,2,11.0,New Property,604.0,0,0,0,0,0,1,37
sector 81,flat,signature global synera,0.48,8027.0,2,2,1,14.0,Relatively new property,547.0,0,0,0,0,0,0,14
sector 54,house,suncity township,25.0,31111.0,4,4,3+,2.0,Moderately New Property,8035.74,1,1,0,1,1,1,0
sector 61,flat,smart world orchard,1.58,13739.0,2,2,2,3.0,New Property,1278.0,0,1,0,0,0,1,15
sector 104,flat,puri emerald bay,2.55,10408.0,4,4,3+,5.0,Relatively new property,2303.0,1,0,0,0,0,1,49
sector 33,flat,eldeco accolade,1.2,8043.0,2,2,2,0.0,Under Construction,1492.0,0,0,0,0,0,1,56
gwal pahari,flat,bsf chs,0.95,5938.0,3,3,3,13.0,Old Property,1778.0,0,0,0,0,0,1,37
sector 3,house,independent,0.8,8155.0,2,4,1,2.0,Moderately New Property,981.0,0,0,0,0,0,1,0
sector 89,flat,m3m soulitude,1.32,16923.0,3,3,3,1.0,Under Construction,867.0,0,0,0,0,0,1,45
sector 11,flat,maruti kunj,0.8,5161.0,3,2,0,0.0,Old Property,1403.0,0,0,0,0,0,1,8
sector 83,flat,vatika gurgaon,0.85,8947.0,2,2,2,18.0,Moderately New Property,1100.0,0,0,0,1,0,0,119
sector 65,flat,emaar mgf emerald floors premier,2.85,14430.0,4,4,3+,0.0,Relatively new property,1975.0,1,1,0,0,0,0,151
sector 11,house,"nirmal enclave, maruti kunj road",0.24,5333.0,2,2,0,2.0,Relatively new property,450.0,0,0,0,0,0,1,0
sector 65,flat,m3m heights,1.99,15794.0,2,2,2,26.0,Under Construction,1140.0,0,0,0,0,0,1,48
sector 54,flat,sunischit apartments,1.75,7955.0,3,3,3+,6.0,Moderately New Property,2100.0,1,0,0,0,0,0,126
sector 102,flat,emaar imperial gardens,1.91,9550.0,3,4,2,17.0,Relatively new property,1587.0,1,1,0,0,0,0,152
sector 65,flat,m3m heights,1.9,14996.0,2,2,3,4.0,Under Construction,1141.0,0,0,0,0,0,1,54
sector 113,flat,la vida by tata housing,1.65,10450.0,3,2,2,3.0,Relatively new property,1420.0,0,0,0,0,0,1,49
sector 2,house,independent,19.5,27083.0,8,9,3+,2.0,New Property,7200.0,1,1,0,1,0,1,122
sector 99,flat,lotus elise,0.95,6552.0,2,3,3,7.0,Relatively new property,1611.0,1,0,0,0,0,1,0
sector 69,flat,tulip violet,1.32,8413.0,3,3,1,12.0,Relatively new property,1419.0,0,0,0,1,0,1,86
sector 22,flat,ambience creacions,4.1,28101.0,3,3,3+,2.0,New Property,2069.0,0,0,0,0,0,2,119
sector 67,flat,ireo victory valley,3.15,12847.0,3,4,3+,15.0,Relatively new property,2219.0,1,0,0,1,0,0,149
sector 31,house,independent,4.6,32258.0,2,2,2,2.0,Moderately New Property,1426.0,0,0,0,0,0,1,0
sector 82,house,independent,7.5,23148.0,5,5,3+,2.0,Relatively new property,3240.0,1,0,0,1,0,0,135
sector 89,flat,m3m soulitude,1.25,8784.0,3,3,0,4.0,New Property,1423.0,0,0,0,0,0,1,61
sector 84,flat,spaze privy at,1.24,6465.0,3,3,3,8.0,Relatively new property,1650.0,0,1,0,0,0,0,158
sector 70a,flat,bptp astaire gardens,1.25,8772.0,3,3,2,1.0,Relatively new property,1300.0,0,0,1,0,0,1,49
sector 41,house,independent,4.25,26235.0,2,9,3+,4.0,Moderately New Property,1619.97,1,1,0,0,0,0,36
sector 79,flat,mapsko mount ville,1.65,9091.0,3,3,0,12.0,Relatively new property,1815.0,0,0,0,0,0,1,0
sector 84,flat,ss the coralwood,1.1,5820.0,3,3,3+,12.0,Moderately New Property,1710.0,0,0,0,0,0,0,104
sector 91,flat,tarc maceo,1.5,6466.0,3,4,3+,3.0,Relatively new property,1786.0,1,1,0,0,0,1,112
sector 37d,flat,bptp terra,1.75,7987.0,4,4,3,7.0,Relatively new property,2100.0,0,0,1,0,0,0,120
sector 56,flat,rail vihar cghs,1.35,10385.0,3,2,2,1.0,Old Property,1275.0,0,0,1,0,0,1,159
sector 70,flat,tulip ivory,2.35,9792.0,4,4,3+,10.0,Moderately New Property,2667.0,1,0,0,0,0,0,65
sector 104,flat,zara aavaas,0.2,6645.0,1,2,2,3.0,New Property,334.0,0,0,0,0,0,1,67
sector 77,flat,emaar palm heights,2.1,10370.0,3,3,3,17.0,New Property,1833.0,1,1,0,0,0,1,8
sohna road,flat,signature global park,0.7,6071.0,3,3,3,2.0,Relatively new property,1281.0,0,0,0,1,0,1,152
sector 28,flat,dlf ridgewood estate,2.0,14599.0,3,3,1,12.0,Old Property,1240.0,0,0,0,0,0,0,96
sector 2,house,ansals palam vihar,5.0,12500.0,6,4,0,3.0,Moderately New Property,4000.0,0,0,0,0,0,1,0
sector 84,flat,alpha corp gurgaonone,1.49,7590.0,3,3,3,6.0,Relatively new property,1833.0,1,0,0,0,0,1,28
